Scientific Name|Common Name|# of States 2005|States 2005|# of States 2015|States 2015|Taxonomic Group
Sigmodon hispidus|Hispid Cotton Rat|4|Arizona,California,Florida,Nebraska|3|Arizona,Florida,Nebraska|Mammals
Sorex palustris punctulatus|southern water shrew|3|Maryland,Pennsylvania,West Virginia|3|Maryland,Pennsylvania,West Virginia|Mammals
Spilogale gracilis|Western Spotted Skunk|2|Montana,Texas|3|Arizona,Texas,Washington|Mammals
Stenella frontalis|Atlantic Spotted Dolphin|2|Puerto Rico,Texas|3|Puerto Rico,Texas,Virgin Islands|Mammals
Steno bredanensis|Rough-toothed Dolphin|4|American Samoa,Hawaii,Puerto Rico,Texas|3|American Samoa,Hawaii,Texas|Mammals
Trichechus manatus latirostris|Florida manatee|1|Florida|3|Florida,South Carolina,Virginia|Mammals
Urocitellus richardsonii|Richardson's Ground Squirrel|3|Minnesota,North Dakota,South Dakota|3|Minnesota,North Dakota,South Dakota|Mammals
Ursus americanus luteolus|Louisiana black bear|3|Louisiana,Mississippi,Texas|3|Louisiana,Mississippi,Texas|Mammals
Xerospermophilus spilosoma|Spotted Ground Squirrel|4|Arizona,Kansas,Utah,Wyoming|3|Arizona,Kansas,Wyoming|Mammals
Alces alces|moose|4|Massachusetts,Michigan,Wisconsin,Wyoming|2|Vermont,Wyoming|Mammals
Antilocapra americana|pronghorn|2|Texas,Washington|2|California,Texas|Mammals
Antilocapra americana sonoriensis|Sonoran Pronghorn|1|Arizona|2|Arizona,California|Mammals
Aplodontia rufa californica|Sierra Nevada mountain beaver|2|California,Nevada|2|California,Nevada|Mammals
Artibeus jamaicensis|Jamaican fruit-eating bat|2|Puerto Rico,Virgin Islands|2|Puerto Rico,Virgin Islands|Mammals
Balaenoptera acutorostrata|Common Minke Whale|5|Alaska,American Samoa,Hawaii,Puerto Rico,Rhode Island|2|American Samoa,Hawaii|Mammals
Balaenoptera edeni|Eden's whale|3|American Samoa,Guam,Hawaii|2|Guam,Hawaii|Mammals
Blarina brevicauda|mole shrew|1|Montana|2|District of Columbia,Montana|Mammals
Blarina carolinensis|Southern Short-tailed Shrew|1|Texas|2|Iowa,Texas|Mammals
Canis lupus baileyi|Mexican Gray Wolf|2|Arizona,New Mexico|2|Arizona,New Mexico|Mammals
Canis lupus rufus|Red Wolf|4|Alabama,Louisiana,Missouri,North Carolina|2|Alabama,North Carolina|Mammals
Cervus elaphus|elk|4|Alabama,Minnesota,Nebraska,Ohio|2|Alabama,North Carolina|Mammals
Conepatus leuconotus|American Hog-nosed Skunk|2|Colorado,Texas|2|Colorado,Texas|Mammals
Conepatus leuconotus leuconotus|Hog-nosed Skunk|1|Oklahoma|2|Arizona,Oklahoma|Mammals
Corynorhinus rafinesquii macrotis|Eastern Big-eared Bat|1|Virginia|2|North Carolina,Virginia|Mammals
Corynorhinus townsendii ingens|Ozark big-eared bat|3|Arkansas,Missouri,Oklahoma|2|Arkansas,Oklahoma|Mammals
Dipodomys elator|Texas Kangaroo Rat|2|Oklahoma,Texas|2|Oklahoma,Texas|Mammals
Dipodomys microps celsus|Chisel-toothed Kangaroo Rat|1|Arizona|2|Arizona,Utah|Mammals
Dipodomys spectabilis|Banner-tailed Kangaroo Rat|1|Texas|2|Arizona,Texas|Mammals
Emballonura semicaudata rotensis|Pacific sheath-tailed bat|2|Guam,Northern Mariana Islands|2|Guam,Northern Mariana Islands|Mammals
Enhydra lutris kenyoni|northern sea otter|1|Alaska|2|Alaska,Washington|Mammals
Eumops perotis californicus|Greater Western Mastiff Bat|2|Arizona,Texas|2|Arizona,Texas|Mammals
Feresa attenuata|Pygmy Killer Whale|2|Hawaii,Texas|2|Hawaii,Texas|Mammals
Geomys pinetis|Southeastern Pocket Gopher|2|Alabama,Georgia|2|Alabama,Georgia|Mammals
Grampus griseus|Risso's Dolphin|3|Guam,Hawaii,Puerto Rico|2|Guam,Hawaii|Mammals
Leopardus pardalis|Ocelot|2|Arizona,Texas|2|Arizona,Texas|Mammals
Leptonycteris nivalis|Mexican long-nosed bat|2|New Mexico,Texas|2|New Mexico,Texas|Mammals
Lepus americanus cascadensis|Oregon snowshoe hare|1|California|2|California,Nevada|Mammals
Lontra canadensis lataxina|River Otter|2|Arizona,Florida|2|Arizona,Florida|Mammals
Lontra canadensis sonora|southwestern otter|2|Arizona,California|2|Arizona,California|Mammals
Martes caurina|marten|1|Alaska|2|California,Washington|Mammals
Mesoplodon europaeus|Gervais' Beaked Whale|1|Texas|2|Maryland,Texas|Mammals
Microtus longicaudus|Coronation Island vole|2|Alaska,Arizona|2|Alaska,Arizona|Mammals
Microtus mexicanus|Mexican Vole|3|Arizona,Texas,Utah|2|Arizona,Texas|Mammals
Molossus molossus|Pallas's mastiff bat|3|Florida,Puerto Rico,Virgin Islands|2|Puerto Rico,Virgin Islands|Mammals
Myotis keenii|Keen's myotis|2|Alaska,Washington|2|Alaska,Washington|Mammals
Myotis occultus|Arizona Myotis|3|California,Colorado,New Mexico|2|Arizona,California|Mammals
Myotis thysanodes pahasapensis|Fringe-tailed Myotis|1|South Dakota|2|Nebraska,South Dakota|Mammals
Myotis yumanensis|Yuma myotis|3|California,Texas,Utah|2|Arizona,Texas|Mammals
Neofiber alleni|Round-tailed Muskrat|2|Florida,Georgia|2|Florida,Georgia|Mammals
Noctilio leporinus|greater bulldog bat|2|Puerto Rico,Virgin Islands|2|Puerto Rico,Virgin Islands|Mammals
Nyctinomops femorosaccus|pocketed free-tailed bat|3|California,New Mexico,Texas|2|Arizona,Texas|Mammals
Odocoileus virginianus leucurus|Columbian white-tailed deer|1|Washington|2|Oregon,Washington|Mammals
Onychomys leucogaster|Northern Grasshopper Mouse|1|Minnesota|2|Arizona,Minnesota|Mammals
Onychomys torridus|Southern Grasshopper Mouse|1|California|2|Arizona,California|Mammals
Oryzomys couesi|Coues's Rice Rat|1|Texas|2|Oklahoma,Texas|Mammals
Peponocephala electra|Melon-headed Whale|2|Guam,Hawaii|2|Guam,Hawaii|Mammals
Perognathus flavus|Silky Pocket Mouse|3|Nebraska,Utah,Wyoming|2|Nebraska,Wyoming|Mammals
Peromyscus crinitus|Canyon Mouse|1|Wyoming|2|Arizona,Wyoming|Mammals
Peromyscus leucopus|White-footed Deermouse|3|North Carolina,Ohio,Virginia|2|North Carolina,Virginia|Mammals
Peromyscus truei|piñon mouse|3|Idaho,Texas,Wyoming|2|Texas,Wyoming|Mammals
Pteropus mariannus mariannus|Mariana Fruit Bat|1|Guam|2|Guam,Northern Mariana Islands|Mammals
